timestamp,short_timestamp,temperature,humidity
2025-07-14T16:19:33.146796,16:19:33,28.00,41.00
2025-07-14T16:19:34.656020,16:19:34,28.00,41.00
2025-07-14T16:19:36.170927,16:19:36,28.00,41.00
2025-07-14T16:19:37.675991,16:19:37,28.00,41.00
2025-07-14T16:19:39.204820,16:19:39,28.00,41.00
2025-07-14T16:19:40.698143,16:19:40,28.00,41.00
2025-07-14T16:19:42.222949,16:19:42,28.00,41.00
2025-07-14T16:19:43.718386,16:19:43,28.00,41.00
2025-07-14T16:19:45.262172,16:19:45,28.00,41.00
2025-07-14T16:19:46.748237,16:19:46,28.00,41.00
2025-07-14T16:19:48.275407,16:19:48,28.00,41.00
2025-07-14T16:19:49.772301,16:19:49,28.00,41.00
2025-07-14T16:19:51.299322,16:19:51,28.00,41.00
